nama_destinasi,alamat,website,google_link,longitude,latitude,review_total,average_rating,letak_provinsi,kategori
Pantai Nglimun,"VFMV+9G2, Bedalo, Krambil Sawit, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",http://pantaingedan.com/,"https://www.google.com/maps/place/Pantai+Nglimun/@-8.116606,110.4937757,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7baf8bb17de379:0x6c3a984038f9d0b0!8m2!3d-8.116606!4d110.4937757!16s%2Fg%2F11bx1q868d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.494,-8.117,96,4.4,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Mlarangan Asri,"Jl. Pangeran Diponegoro, Dusun I, Pleret, Kec. Panjatan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55655",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Mlarangan+Asri/@-7.945711,110.1422592,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afdb2fdb226cb:0xa4fdfba551a9c941!8m2!3d-7.945711!4d110.1422592!16s%2Fg%2F11jv5dmn93?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.142,-7.946,1066,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Sundak Beach,Special Region of Yogyakarta,Tidak Tersedia,"https://www.google.com/maps/place/Sundak+Beach/@-8.1471482,110.6078475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bba2e55492ca1:0xcaee252e6bf05e80!8m2!3d-8.147072!4d110.6079043!16s%2Fg%2F11b7q4gm26?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.608,-8.147,3019,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Jogan,"Jl. Pantai Siung, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Jogan/@-8.1801348,110.6763715,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3626fed5bbf:0x68b2ade85cdcc40d!8m2!3d-8.180135!4d110.6763715!16s%2Fg%2F11cp5g2s_l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.676,-8.180,783,4.3,Daerah Istimewa Yogyakarta,Wisata Alam
Ngrawe Beach,"Jl. Pantai Kukup, Ngepung, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",http://www.instagram.com/pantai_ngrawe,"https://www.google.com/maps/place/Ngrawe+Beach/@-8.1333389,110.5537405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bbb5c26a16919:0x36d06fe62eda6ae6!8m2!3d-8.1333389!4d110.5537405!16s%2Fg%2F11h7c85z0t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.554,-8.133,3578,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Gumuk Pasir Parangkusumo,"Jl. Pantai Parangkusumo RT. 1 Grogol 10, Jl. Pantai Parangkusumo No.16, Pantai, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",http://www.instagram.com/gumukpasir,"https://www.google.com/maps/place/Gumuk+Pasir+Parangkusumo/@-8.01845,110.3195509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b009013455d2f:0x22e1771beec2dd40!8m2!3d-8.01845!4d110.3195509!16s%2Fg%2F11clt8fcsz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.320,-8.018,9263,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Nggrani,"X7PV+4QR, Jl. Pantai Parangkusumo, Pantai, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",https://bantulkab.go.id/,"https://www.google.com/maps/place/Pantai+Nggrani/@-8.0146493,110.2943924,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b012f75f87a99:0x5fa04510b7cb867c!8m2!3d-8.0146493!4d110.2943924!16s%2Fg%2F11r8gccj0d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.294,-8.015,6,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
Mesra Beach,"VH83+VCR, Ngepung, Kemadang, Ngrawe, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Mesra+Beach/@-8.1327648,110.5535129,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bbbbfe8fc2eb9:0x105b0609fd01ac53!8m2!3d-8.1327648!4d110.5535129!16s%2Fg%2F11j0h9d3vl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.554,-8.133,3915,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Kayu Arum,"VGCM+5MQ, Kranon, Kanigoro, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Kayu+Arum/@-8.1295496,110.5342345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bbabdf03c5607:0x50169f0ec086d6a0!8m2!3d-8.1295496!4d110.5342345!16s%2Fg%2F11csq2768k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.534,-8.130,305,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Laut Bekah,"W9HG+H47, Temon, Giripurwo, Kec. Purwosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55872",Tidak Tersedia,"https://www.google.com/maps/place/Laut+Bekah/@-8.0710833,110.3752915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ba9a6fc00b983:0xe1ed5c1c2c7071e9!8m2!3d-8.0710833!4d110.3752915!16s%2Fg%2F11cmtqvg9s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.375,-8.071,457,4.4,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai cemplon,"56XM+CH2, Gamplong III, Sumberrahayu, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+cemplon/@-7.8014777,110.2338844,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af1a60ef8193b:0xff43375f73cb186c!8m2!3d-7.8014777!4d110.2338844!16s%2Fg%2F11qs04rv3j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.234,-7.801,13,4.8,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Bidara,"Jl. Pantai Bugel, Gumuk Waru, Bugel, Kec. Panjatan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55655",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Bidara/@-7.9500995,110.1507733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd74b8eb5fff:0x8bd22fd0e2b7076c!8m2!3d-7.9500995!4d110.1507733!16s%2Fg%2F11mmcxzrw7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.151,-7.950,538,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
LAGUNA PANTAI TRISIK,"25GV+3GQ, Area Sawah, Banaran, Kec. Galur, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55661",Tidak Tersedia,"https://www.google.com/maps/place/LAGUNA+PANTAI+TRISIK/@-7.9747776,110.1938541,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b027bfe2e165b:0x77fed80c70c86f0!8m2!3d-7.9747776!4d110.1938541!16s%2Fg%2F11c0xtd503?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.194,-7.975,1588,4,Daerah Istimewa Yogyakarta,Wisata Alam
Ngrumput Beach,"Gunung Kidul Regency, Special Region of Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Ngrumput+Beach/@-8.1403827,110.5831238,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bba436390823f:0x142d3b53f187012b!8m2!3d-8.1403829!4d110.5831238!16s%2Fg%2F11b6gdhrk7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.583,-8.140,1817,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Pemecah Ombak Pantai Glagah,"33JH+92X, Glagah, Temon, Kulon Progo Regency, Special Region of Yogyakarta",Tidak Tersedia,"https://www.google.com/maps/place/Pemecah+Ombak+Pantai+Glagah/@-7.9190028,110.0775951,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ae3bc5fea3a7f:0x73ef87dbaf24f23a!8m2!3d-7.9190028!4d110.0775951!16s%2Fg%2F11fxvmnf0c?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.078,-7.919,3054,4.4,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Goa Watulawang (Tepus),"Pantai Goa Watulawang, Pantai, Tepus, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Goa+Watulawang+(Tepus)/@-8.1534239,110.6171184,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb907aa799383:0x5199fbf227afb65!8m2!3d-8.1534239!4d110.6171184!16s%2Fg%2F11nnr_ppl5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.617,-8.153,221,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Butuh,"VFQP+76V, Karang Gn., Krambil Sawit, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Butuh/@-8.111761,110.4855541,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7baf905d3fb057:0x6fa3ae1d1b605b68!8m2!3d-8.111761!4d110.4855541!16s%2Fg%2F11q4hhn47_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.486,-8.112,5,4.8,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Baron Indah,"VGCX+HJ3, Pantai baron area Pantai baron area, Rejosari, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Baron+Indah/@-8.1283793,110.5489526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bba966798f245:0xc98e292552985137!8m2!3d-8.1283793!4d110.5489526!16s%2Fg%2F1pzs7dh_b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.549,-8.128,12116,4.2,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai Slili,"VJ42+2R9, Jl. Pantai Krakal, Pule Gundes II, Sidoharjo, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Slili/@-8.1449587,110.6020982,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bbbbe4f17248d:0x16f45166c649f404!8m2!3d-8.1449587!4d110.6020982!16s%2Fg%2F11n0v4q6bn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.602,-8.145,275,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
Wisata pantai,"Jl. Pantai Siung, Pringsangar, Purwodadi, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+pantai/@-8.1526274,110.6823048,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb9000060ad3d:0xa00d22c821f061e7!8m2!3d-8.1526274!4d110.6823048!16s%2Fg%2F11y29vq4tt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.682,-8.153,2,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Siung Beach,"Jl. Pantai Siung, Duwet, Purwodadi, Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Siung+Beach/@-8.1817865,110.6832504,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb8c601c4dd6f:0xd2922b7ad5bb885f!8m2!3d-8.1817865!4d110.6832504!16s%2Fg%2F11c46flw1s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.683,-8.182,2205,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Pantai grigak gk,"WC5M+3PH, Unnamed Road, Petung, Giriwungu, Kec. Panggang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55872",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+grigak+gk/@-8.0923023,110.4343541,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7baf20a7755daf:0x6d644267eeb457d1!8m2!3d-8.0923023!4d110.4343541!16s%2Fg%2F11rxmtzby3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.434,-8.092,5,5,Daerah Istimewa Yogyakarta,Wisata Alam
Watunene hidden beach,"RJRJ+69J, Pantai, Tepus, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Watunene+hidden+beach/@-8.1594198,110.6308969,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb98ef2ffee4f:0x58769a21679e4e5c!8m2!3d-8.1594198!4d110.6308969!16s%2Fg%2F11v10fjh45?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.631,-8.159,34,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
Bukit Pandawa,"Area Sawah, Sidorejo, Godean, Sleman Regency, Special Region of Yogyakarta 55264",Tidak Tersedia,"https://www.google.com/maps/place/Bukit+Pandawa/@-7.7471878,110.2815701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af6f65e71cf5b:0x2051af7c1dc34812!8m2!3d-7.7471878!4d110.2815701!16s%2Fg%2F11g8_2mlfd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.282,-7.747,771,4,Daerah Istimewa Yogyakarta,Wisata Alam
Gunung Ireng,"Ngrancahan, Pengkok, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55862",Tidak Tersedia,"https://www.google.com/maps/place/Gunung+Ireng/@-7.8810109,110.4885783,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a523b341b1103:0xb83c0f106770ecfe!8m2!3d-7.8810109!4d110.4885783!16s%2Fg%2F11b62v7fyn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.489,-7.881,1474,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
Becici Peak,"Gunungcilik, RT.07/RW.02, Gn. Cilik, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",https://instagram.com/puncakbecici,"https://www.google.com/maps/place/Becici+Peak/@-7.9020355,110.4374627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a531aaaaaaaab:0x6c28149b91ea59f4!8m2!3d-7.9020355!4d110.4374627!16s%2Fg%2F11h2g21vfv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.437,-7.902,16987,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
TPR Parangtritis,"2838+735, Jl. Parangtritis, Duwuran, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",Tidak Tersedia,"https://www.google.com/maps/place/TPR+Parangtritis/@-7.9968526,110.3152331,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7b01f2515adb9b:0x130b661a05089322!8m2!3d-7.9968526!4d110.3152331!16s%2Fg%2F11sty28xwb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.315,-7.997,205,3.1,Daerah Istimewa Yogyakarta,Wisata Alam
Tebing Breksi,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",http://www.tebingbreksi.com/,"https://www.google.com/maps/place/Tebing+Breksi/@-7.7815714,110.5045827,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5aa458b4665b:0xa4b0fc6ad0ae38c7!8m2!3d-7.7815714!4d110.5045827!16s%2Fg%2F11fzry0lfb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.505,-7.782,64958,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Taman Sungai Mudal,"Banyunganti, Jatimulyo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674",https://ekowisatasungaimudal.com/,"https://www.google.com/maps/place/Taman+Sungai+Mudal/@-7.7628136,110.1161626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aee4a6fe974b7:0xc8f1e183fc8e2531!8m2!3d-7.7628136!4d110.1161626!16s%2Fg%2F11b7wn6mry?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.116,-7.763,9049,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
Bukit Panguk Kediwung,"Kediwung, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",Tidak Tersedia,"https://www.google.com/maps/place/Bukit+Panguk+Kediwung/@-7.9583695,110.4407622,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bacb24995d023:0x95aec26c5e9774a2!8m2!3d-7.9583695!4d110.4407622!16s%2Fg%2F11c44q7bf_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.441,-7.958,3571,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Blue Lagoon Jogja,"Area Sawah, Widodomartani, Ngemplak, Sleman Regency, Special Region of Yogyakarta 55584",http://www.bluelagoonjogja.blogspot.com/,"https://www.google.com/maps/place/Blue+Lagoon+Jogja/@-7.7028328,110.4491103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5c75eba9da15:0xd4d6063b3b163462!8m2!3d-7.7028328!4d110.4491103!16s%2Fg%2F11b6vhjqrb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.449,-7.703,4705,4.3,Daerah Istimewa Yogyakarta,Wisata Alam
Bukit Bintang,"Area Kebun, Srimulyo, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55792",https://bit.ly/covid_19_latest_update,"https://www.google.com/maps/place/Bukit+Bintang/@-7.8458407,110.4798457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51a418acd7d3:0xfb055b6604992f0a!8m2!3d-7.8458407!4d110.4798457!16s%2Fg%2F1pv61n1m9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.480,-7.846,29860,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Wisata Alam Watu Amben,"4FRF+M4V, pandeyan, Duwen Bintang, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Alam+Watu+Amben/@-7.8582585,110.4728081,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a51760a219213:0xbd54331a7c5f952e!8m2!3d-7.8582585!4d110.4728081!16s%2Fg%2F11cjkpzqx_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.473,-7.858,2639,4.4,Daerah Istimewa Yogyakarta,Wisata Alam
Wisata Kalibiru,"Jalan Waduk Sermo, Kalibiru, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",http://wisatakalibiru.com/,"https://www.google.com/maps/place/Wisata+Kalibiru/@-7.8074219,110.1292682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aeff7861e0b91:0x5604e4ced3f4227e!8m2!3d-7.8074219!4d110.1292682!16s%2Fg%2F11b7jz25fr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.129,-7.807,7472,4.4,Daerah Istimewa Yogyakarta,Wisata Alam
Taman Pelangi Jogja,"Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Tidak Tersedia,"https://www.google.com/maps/place/Taman+Pelangi+Jogja/@-7.7503027,110.3694988,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58f975c66097:0x99331d342ee5862d!8m2!3d-7.7503027!4d110.3694988!16s%2Fg%2F11x7vl1rr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.369,-7.750,6066,4.2,Daerah Istimewa Yogyakarta,Wisata Alam
Hutan Pinus Pengger,"Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Tidak Tersedia,"https://www.google.com/maps/place/Hutan+Pinus+Pengger/@-7.8712041,110.4595144,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a53d8d54f0903:0xf33314fb0104fc60!8m2!3d-7.8712041!4d110.4595144!16s%2Fg%2F11f3cxtg5q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.460,-7.871,26417,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
Tourism Zone Malioboro,"Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Tidak Tersedia,"https://www.google.com/maps/place/Tourism+Zone+Malioboro/@-7.7982487,110.3652793,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578819c338f1:0x72aa3ad97ecccfb6!8m2!3d-7.7982487!4d110.3652793!16s%2Fg%2F11dd_kfc0g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.365,-7.798,5208,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
KALIURANG-YOGYAKARTA,"CC4M+V2V, Kawasan Wisata, Jl. Tlogo Putri, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Tidak Tersedia,"https://www.google.com/maps/place/KALIURANG-YOGYAKARTA/@-7.5928471,110.4326472,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a67525ced61ef:0x4a269b8f8b5e2512!8m2!3d-7.5928471!4d110.4326472!16s%2Fg%2F11s9jv3x29?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.433,-7.593,122,4.7,Daerah Istimewa Yogyakarta,Wisata Alam
Taman Pintar Yogyakarta,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",https://www.tamanpintar.co.id/,"https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/@-7.8006715,110.3676551,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.8006715!4d110.3676551!16s%2Fm%2F0y6kq2z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.368,-7.801,7506,4.5,Daerah Istimewa Yogyakarta,Wisata Alam
The Lost World Castle,"Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",Tidak Tersedia,"https://www.google.com/maps/place/The+Lost+World+Castle/@-7.6041648,110.4510042,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5d9bed435109:0x284f5fe8b2b683c9!8m2!3d-7.6041648!4d110.4510042!16s%2Fg%2F11gy24lssq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.451,-7.604,21791,4.3,Daerah Istimewa Yogyakarta,Wisata Alam
Titik Nol Kilometer Yogyakarta,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",http://www.instagram.com/titiknolyogyakarta,"https://www.google.com/maps/place/Titik+Nol+Kilometer+Yogyakarta/@-7.8013966,110.3647641,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57599a1f9397:0xebbf28ee280ce10f!8m2!3d-7.8013966!4d110.3647641!16s%2Fg%2F11h3cbh9_y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.365,-7.801,49904,4.8,Daerah Istimewa Yogyakarta,Wisata Alam
Gunung Mungker,"Pencitrejo, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",https://gunungmungker.blogspot.co.id/,"https://www.google.com/maps/place/Gunung+Mungker/@-7.8758728,110.4578762,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a53d8c5f424b3:0x60e3905bde3984e1!8m2!3d-7.8758728!4d110.4578762!16s%2Fg%2F11btz30dsf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.458,-7.876,487,4.3,Daerah Istimewa Yogyakarta,Wisata Alam
Kosakora Hill,"Area Hutan, Banjarejo, Tanjungsari, Gunung Kidul Regency, Special Region of Yogyakarta 55881",Tidak Tersedia,"https://www.google.com/maps/place/Kosakora+Hill/@-8.1411158,110.584068,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bba44603f79d1:0xd59af916e203a920!8m2!3d-8.1411158!4d110.584068!16s%2Fg%2F11c0r32h50?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",110.584,-8.141,1536,4.6,Daerah Istimewa Yogyakarta,Wisata Alam
